"Name","Description","DataType","Default","Value","Compliance"
"ASRBlockWIN32APIFromOfficeMacros","Block Win32 API calls from Office macros","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"ASRUseAdvancedProtectionAgainstRansomware","Use advanced protection against ransomware","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AttackSurfaceReductionRules","Configure Attack Surface Reduction rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"DisableAntiSpyware","Turn off Microsoft Defender AntiVirus","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableAutoExclusions","Turn off Auto Exclusions","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableBehaviorMonitoring","Turn on behavior monitoring","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableBlockAtFirstSeen","Configure the 'Block at First Sight' feature","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableEmailScanning","Turn on e-mail scanning","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableIOAVProtection","Scan all downloaded files and attachments","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableRealtimeMonitoring","Turn off real-time protection","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableRemovableDriveScanning","Scan removable drives","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableRoutinelyTakingAction","Turn off routine remediation","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableScanOnUpdate","Turn on scan after security intelligence update","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisableScriptScanning","Turn on script scanning","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"DisallowExploitProtectionOverride","Prevent users from modifying settings","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"EnableConvertWarnToBlock","Convert warn verdict to block","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Important}"
"EngineRing","Select the channel for Microsoft Defender monthly engine updates","Integer","5",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [5,6]; Severity=Critical}"
"HideExclusionsFromLocalAdmins","Control whether or not exclusions are visible to Local Admins","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"HideExclusionsFromLocalUsers","Control whether exclusions are visible to local users","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"LocalSettingOverrideSpynetReporting","Configure local setting override for reporting to Microsoft MAPS","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Important}"
"MpCloudBlockLevel","Select cloud protection level","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [2,4,6]; Severity=Critical}"
"OobeEnableRtpAndSigUpdate","Configure real-time protection and Security Intelligence Updates during OOBE","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"PlatformRing","Select the channel for Microsoft Defender monthly platform updates","Integer","5",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [5,6]; Severity=Critical}"
"PUAProtection","Configure detection for potentially unwanted applications","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Critical}"
"QuickScanIncludeExclusions","Scan excluded files and directories during quick scans","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"SchedulerRandomizationTime","Configure scheduled task times randomization window","Integer","4",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Important}"
"SignaturesRing","Select the channel for Microsoft Defender daily security intelligence updates","Integer","5",,"@{Status=NotCompliant; Reason=(null) is not equal to 5; Severity=Critical}"
"SpynetReporting","Join Microsoft MAPS","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Critical}"
"SubmitSamplesConsent","Send file samples when further analysis is required","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [1,3]; Severity=Critical}"
