"Name","Description","DataType","Default","Value","Compliance"
"AuditMPSSVCRuleLevelPolicyChange","Audit MPSSVC Rule-Level Policy Change","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditOtherLogonLogoffEvents","Audit Other Logon/Logoff Events","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditOtherObjectAccessEvents","Audit Other Object Access Events","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditOtherSystemEvents","Audit Other System Events","Integer","3","3","@{Status=Compliant; Reason=3 is equal to 3; Severity=Critical}"
"AuditPnPExternalDevice","Audit when plug and play detects an external device","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Critical}"
"AuditPolicyChange","Audit Policy Change","Integer","3","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditProcessCreatedOrStarted","Audit events generated when a process is created or starts","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Critical}"
"AuditRemovableStorage","Audit Removable Storage","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditSecurityGroupManagement","Audit Security Group Management","Integer","1","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditSecurityStateChange","Audit Security State Change","Integer","1","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditSecuritySystemExtension","Audit Security System Extension","Integer","1","0","@{Status=NotCompliant; Reason=0 is not one of the allowed values: [1,3]; Severity=Critical}"
"AuditSensitivePrivilegeUse","Audit Sensitive Privilege Use","Integer","3","0","@{Status=NotCompliant; Reason=0 is not equal to 3; Severity=Critical}"
"AuditServerDoesNotSupportEncryption","Audit server does not support encryption","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"AuditServerDoesNotSupportSigning","Audit server does not support signing","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"AuditSettingsIncludeCmdLine","Include command line in process creation events","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AuditSpecialLogon","Audit Special Logon","Integer","1","1","@{Status=Compliant; Reason=1 is one of the allowed values: [1,3]; Severity=Critical}"
"AuditSystemIntegrity","Audit System Integrity","Integer","3","3","@{Status=Compliant; Reason=3 is equal to 3; Severity=Critical}"
"AuditUserAccountManagement","Audit User Account Management","Integer","3","1","@{Status=NotCompliant; Reason=1 is not equal to 3; Severity=Critical}"
"AutoplayDisallowAutoplayForNonVolumeDevices","Disallow Autoplay for non-volume devices","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AutoplaySetDefaultAutoRunBehavior","Set the default behavior for AutoRun","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"AutoplayTurnOffAutoPlay","Turn off Autoplay","Integer","255",,"@{Status=NotCompliant; Reason=(null) is not equal to 255; Severity=Critical}"
"BehaviorOfTheElevationPromptForAdministrators","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","Integer","2","5","@{Status=NotCompliant; Reason=5 is greater than the maximum value 2; Severity=Critical}"
"BehaviorOfTheElevationPromptForStandardUsers","User Account Control: Behavior of the elevation prompt for standard users","Integer","0","3","@{Status=NotCompliant; Reason=3 is not equal to 0; Severity=Critical}"
"BlockConsumerMicrosoftAccounts","Block all consumer Microsoft account user authentication","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"BlockNetbiosDiscovery","Block NetBIOS-based discovery for domain controller location","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"BlockNTLM","Block NTLM (LM NTLM NTLMv2)","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Important}"
"BlockNTLMServerExceptionList","Block NTLM Server Exception List","Array","System.Object[]",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Informational}"
"ClearVirtualMemoryPageFile","Shutdown: Clear virtual memory pagefile","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"ConfigureDNSClientNETBIOS","Configure NetBIOS settings","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Important}"
"ConfigureKernelShadowStacksLaunch","Turn On Virtualization Based Security | KernelShadowStackLaunch","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Warning}"
"ConfigureSMBV1ClientDriver","Configure SMB v1 client driver","Integer","4",,"@{Status=NotCompliant; Reason=(null) is not equal to 4; Severity=Critical}"
"ConfigureSMBV1Server","Disable SMB v1 server","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"ConnectivityDisableDownloadingOfPrintDriversOverHTTP","Turn off downloading of print drivers over HTTP","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"ConnectivityProhibitInstallationAndConfigurationOfNetworkBridge","Prohibit installation and configuration of Network Bridge on your DNS domain network","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"CredentialProvidersAllowPINLogon","Turn on convenience PIN sign-in","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"CredentialsDelegationRemoteHostAllowsDelegationOfNonExportableCredentials","Remote host allows delegation of non-exportable credentials","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"CredentialsUIDisablePasswordReveal","Do not display the password reveal button","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"CredentialsUIEnumerateAdministrators","Enumerate administrator accounts on elevation","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"CredSspAllowEncryptionOracle","Encryption Oracle Remediation for CredSSP protocol","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"CryptographyAllowedKerberosEncryptionTypes","Network Security: Configure encryption types allowed for Kerberos","Integer","2147483640",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [2147483624,2147483632,2147483640]; Severity=Critical}"
"CryptographyEccCurve","SSL Cryptography EccCurves","Array","NistP256 NistP384",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: [""NistP256"",""NistP384""]; Severity=Critical}"
"CryptographyForceStrongKeyProtection","System Cryptography: Force strong key protection for user keys stored on the computer","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Important}"
"CryptographySSLCipherSuites","SSL Cryptography Cipher suites","Array","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256 TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256 TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: [""TLS_AES_128_GCM_SHA256"",""TLS_AES_256_GCM_SHA384"",""TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256"",""TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384"",""TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256"",""TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384"",""TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256"",""TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384"",""TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256"",""TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384""]; Severity=Critical}"
"DetectApplicationInstallationsAndPromptForElevation","User Account Control: Detect application installations and prompt for elevation","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DeviceGuardLsaCfgFlags","Turn on CredentialGuard","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"DeviceGuardRequireMicrosoftSignedBootChain","Secured-Core Require MicrosoftSignedBootChain","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DeviceGuardRequirePlatformSecurityFeatures","Secured-Core Require Platform Security (Secure Boot, DMA)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [1,3]; Severity=Critical}"
"DeviceGuardRequireUEFIMemoryAttributesTable","Secured-Core Require UEFI Memory Attribute Table","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"DeviceInstallationPreventDeviceMetadataFromNetwork","Prevent device metadata retrieval from the Internet","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"DeviceLockAccountLockoutPolicy","Account lockout policy","String","AccountLockoutDuration:15, AccountLockoutThreshold:3, ResetAccountLockoutCounterAfter:15","AccountLockoutDuration:10, AccountLockoutThreshold:10, ResetAccountLockoutCounterAfter:10","@{Status=NotCompliant; Reason=""AccountLockoutDuration:10, AccountLockoutThreshold:10, ResetAccountLockoutCounterAfter:10"" does not match the pattern: ResetAccountLockoutCounterAfter:[1][5-9]|[2-9]\d|[1-9]\d{2,}; Severity=Critical}"
"DeviceLockClearTextPassword","Store passwords using reversible encryption","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"DeviceLockMaximumPasswordAge","Maximum password age","Integer","42","42","@{Status=Compliant; Reason=42 is within the allowed range: 1 to 60; Severity=Critical}"
"DeviceLockMinDevicePasswordLength","Minimum password length","Integer","14","4","@{Status=NotCompliant; Reason=4 is less than the minimum value 14; Severity=Critical}"
"DeviceLockMinimumPasswordAge","Minimum password age","Integer","1","0","@{Status=NotCompliant; Reason=0 is less than the minimum value 1; Severity=Critical}"
"DeviceLockPasswordComplexity","Password must meet complexity requirements","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DeviceLockPasswordHistorySize","Enforce password history","Integer","24","0","@{Status=NotCompliant; Reason=0 is not equal to 24; Severity=Critical}"
"DeviceLockPreventEnablingLockScreenCamera","Prevent enabling lock screen camera","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"DeviceLockPreventLockScreenSlideShow","Prevent enabling lock screen slide show","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"DigitallyEncryptOrSignSecureChannelDataAlways","Domain member: Digitally encrypt or sign secure channel data (always)","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DigitallyEncryptSecureChannelDataWhenPossible","Domain member: Digitally encrypt secure channel data (when possible)","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DigitallySignCommunicationsAlwaysClient","Microsoft network client: Digitally sign communications (always)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"DigitallySignCommunicationsAlwaysServer","Microsoft network server: Digitally sign communications (always)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"DigitallySignCommunicationsIfClientAgrees","Microsoft network server: Digitally sign communications (if client agrees)","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Critical}"
"DigitallySignCommunicationsIfServerAgrees","Microsoft network client: Digitally sign communications (if server agrees)","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DigitallySignSecureChannelDataWhenPossible","Domain member: Digitally sign secure channel data (when possible)","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DisableLocalAccountPasswordChanges","Domain member: Disable machine account password changes","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"DisableSMBv1Client","Disable SMB v1 client (remove dependency on LanmanWorkstation)","Array","Bowser MRxSmb20 NSI","System.Object[]","@{Status=Compliant; Reason=[""MRxSmb20"",""NSI"",""Bowser""] contains the expected values: [""Bowser"",""MRxSmb20"",""NSI""]; Severity=Critical}"
"DisconnectClientsWhenLogonHoursExpire","Microsoft network server: Disconnect clients when logon hours expire","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DmaGuardDeviceEnumerationPolicy","Enumeration policy for external devices incompatible with Kernel DMA Protection","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [0,1]; Severity=Critical}"
"DnsClientTurn_Off_Multicast","Turn off multicast name resolution","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"DODownloadMode","Delivery Optimization: Download Mode Methods","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [0,1,2,99,100]; Severity=Informational}"
"DoNotAllowAnonymousEnumerationOfSAMAccounts","Network access: Do not allow anonymous enumeration of SAM accounts","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"DoNotAllowAnonymousEnumerationOfSamAccountsAndShares","Network access: Do not allow anonymous enumeration of SAM accounts and shares","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Critical}"
"DoNotDisplayLastSignedIn","Interactive logon: Do not display last user name","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Critical}"
"DoNotRequireCTRLALTDEL","Interactive logon: Do not require CTRL+ALT+DEL","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"EnableAuthEpResolution","Enable RPC Endpoint Mapper Client Authentication","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"EnableAuthRateLimiter","Enable authentication rate limiter","Integer","1",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"EnableAuthRateLimiterTimeout","Enable authentication rate limiter (Delay Timeout)","Integer","2000",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Informational}"
"EnabledNTPClient","Enable Windows NTP Client","Integer",,"1";
"EnableGuestAccountStatus","Accounts: Guest account status","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"EnableMailslotsLanmanServer","Enable remote mailslots (Lanman Server)","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"EnableMailslotsLanmanWorkstation","Enable remote mailslots (Lanman Workstation)","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Informational}"
"EnableStructuredExceptionHandlingOverwriteProtection","Enable Structured Exception Handling Overwrite Protection (SEHOP)","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"EncryptNTFSPagingFile","System Policies NtfsEncryptPagingFile","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"EventLogChannelSecurityLogRetention","Security: Control Event Log behavior when the log file reaches its maximum size","String","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"EventLogChannelSetupLogMaxSize","Setup: Specify the maximum log file size (KB)","Integer","32768",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"EventLogChannelSetupLogRetention","Setup: Control Event Log behavior when the log file reaches its maximum size","String","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"EventLogChannelSystemLogRetention","System: Control Event Log behavior when the log file reaches its maximum size","String","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"EventLogPercentageThresholdSecurityEventLogMaximumSizeReached","MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning","Integer","90",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Informational}"
"EventLogServiceControlEventLogBehavior","Application: Control Event Log behavior when the log file reaches its maximum size","String","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"EventLogServiceSpecifyMaximumFileSizeApplicationLog","Application: Specify the maximum log file size (KB)","Integer","32768",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"EventLogServiceSpecifyMaximumFileSizeSecurityLog","Security: Specify the maximum log file size (KB)","Integer","196608",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"EventLogServiceSpecifyMaximumFileSizeSystemLog","System: Specify the maximum log file size (KB)","Integer","32768",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"ExperienceAllowWindowsConsumerFeatures","Turn off Microsoft consumer experiences","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Warning}"
"ExperienceDisableConsumerAccountStateContent","Turn off cloud consumer account state content","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"ExperienceDoNotShowFeedbackNotifications","Do not show feedback notifications","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FileExplorerTurnOffHeapTerminationOnCorruption","Turn off heap termination on corruption","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"FirewallDomainProfileApplyLocalConnectionSecurityRules","Windows Firewall: Domain: Settings: Apply local connection security rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallDomainProfileApplyLocalFirewallRules","Windows Firewall: Domain: Settings: Apply local firewall rules","Integer","1",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"FirewallDomainProfileDisplayNotification","Windows Firewall: Domain: Settings: Display a notification","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallDomainProfileInboundConnection","Windows Firewall: Domain: Inbound connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallDomainProfileLogDroppedPackets","Windows Firewall: Domain: Logging: Log dropped packets","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"FirewallDomainProfileLogFileMaxSize","Windows Firewall: Domain: Logging: Size limit (KB)","Integer","16384",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Warning}"
"FirewallDomainProfileLogFileName","Windows Firewall: Domain: Logging: Name","String","%SystemRoot%\System32\logfiles\firewall\domainfw.log",,"@{Status=NotCompliant; Reason=(null) does not match the pattern: .log; Severity=Informational}"
"FirewallDomainProfileLogSuccessfulConnections","Windows Firewall: Domain: Logging: Log successful connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallDomainProfileOutboundConnection","Windows Firewall: Domain: Outbound connections","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"FirewallDomainProfileState","Windows Firewall: Domain: Firewall state","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallDomainProfileUnicastResponse","Windows Firewall: Domain: Allow unicast response","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"FirewallPrivateProfileApplyLocalConnectionSecurityRules","Windows Firewall: Private: Settings: Apply local connection security rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPrivateProfileApplyLocalFirewallRules","Windows Firewall: Private: Settings: Apply local firewall rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPrivateProfileDisplayNotification","Windows Firewall: Private: Settings: Display a notification","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallPrivateProfileInboundConnection","Windows Firewall: Private: Inbound connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPrivateProfileLogDroppedPackets","Windows Firewall: Private: Logging: Log dropped packets","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"FirewallPrivateProfileLogFileMaxSize","Windows Firewall: Private: Logging: Size limit (KB)","Integer","16384",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Warning}"
"FirewallPrivateProfileLogFileName","Windows Firewall: Private: Logging: Name","String","%SystemRoot%\System32\logfiles\firewall\privatefw.log",,"@{Status=NotCompliant; Reason=(null) does not match the pattern: .log; Severity=Informational}"
"FirewallPrivateProfileLogSuccessfulConnections","Windows Firewall: Private: Logging: Log successful connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallPrivateProfileOutboundConnection","Windows Firewall: Private: Outbound connections","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"FirewallPrivateProfileState","Windows Firewall: Private: Firewall state","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPrivateProfileUnicastResponse","Windows Firewall: Private: Allow unicast response","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"FirewallPublicProfileApplyLocalConnectionSecurityRules","Windows Firewall: Public: Settings: Apply local connection security rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPublicProfileApplyLocalFirewallRules","Windows Firewall: Public: Settings: Apply local firewall rules","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPublicProfileDisplayNotification","Windows Firewall: Public: Settings: Display a notification","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallPublicProfileInboundConnection","Windows Firewall: Public: Inbound connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPublicProfileLogDroppedPackets","Windows Firewall: Public: Logging: Log dropped packets","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"FirewallPublicProfileLogFileMaxSize","Windows Firewall: Public: Logging: Size limit (KB)","Integer","16384",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Informational}"
